Temperature,Humidity,Years
0,0,6000.999999107097
1,0,6000.999999048596
2,0,6000.999998984007
3,0,6000.9999989131975
4,0,6000.999998836215
5,0,6000.999998753337
6,0,6000.99999866509
7,0,6000.999998572266
8,0,6000.999998475901
9,0,6000.999998377228
10,0,6000.999998277616
11,0,6000.999998178476
12,0,6000.999998081171
13,0,6000.999997986937
14,0,6000.999997896812
15,0,6000.999997811595
16,0,6000.999997731837
17,0,6000.9999976578465
18,0,6000.999997589712
19,0,6000.999997527345
20,0,6000.99999747052
21,0,6000.99999741891
22,0,6000.99999737213
23,0,6000.99999732976
24,0,6000.999997291371
25,0,6000.999997256543
26,0,6000.999997224873
27,0,6000.999997195986
28,0,6000.999997169536
29,0,6000.999997145206
30,0,6000.999997122711
31,0,6000.999997101793
32,0,6000.999997082221
33,0,6000.999997063786
34,0,6000.999997046301
35,0,6000.9999970295985
36,0,6000.999997013523
37,0,6000.999996997936
38,0,6000.999996982709
39,0,6000.99999696772
40,0,6000.99999695286
41,0,6000.9999969380215
42,0,6000.9999969230985
43,0,6000.999996907991
44,0,6000.999996892597
45,0,6000.999996876812
46,0,6000.999996860529
47,0,6000.999996843633
48,0,6000.999996825996
49,0,6000.999996807484
50,0,6000.999996787936
51,0,6000.999996767168
52,0,6000.999996744961
53,0,6000.999996721036
54,0,6000.99999669504
55,0,6000.999996666494
56,0,6000.999996634719
57,0,6000.99999659871
58,0,6000.999996556899
59,0,6000.9999965067145
60,0,6000.999996443761
61,0,6000.999996360142
62,0,6000.999996241002
63,0,6000.999996056719
64,0,6000.999995743849
65,0,6000.9999951524005
66,0,6000.999993874212
67,0,6000.999990543407
68,0,6000.999978961902
69,0,6000.999914515755
70,0,6000.999023205085
71,0,6000.904384344181
72,0,5965.257853555107
73,0,5207.692883606948
74,0,4208.244809711942
75,0,3750.0038500152973
76,0,3501.8780441624376
77,0,3305.9982651323076
78,0,3118.720240493337
79,0,2930.6681065749085
80,0,2742.7789235319824
81,0,2558.8412098452554
82,0,2382.755207044216
83,0,2217.485971287794
84,0,2064.791604990687
85,0,1925.3301613359067
86,0,1798.9194810122715
87,0,1684.8191879115377
88,0,1581.9708143250386
89,0,1489.1753766445217
90,0,1405.2111235316102
91,0,1328.9037022772754
92,0,1259.162671750649
93,0,1194.9964609737451
94,0,1135.5150089503063
95,0,1079.926568347327
96,0,1027.532892483904
97,0,977.7252725252997
98,0,929.9825482094878
99,0,883.8711760590473
0,1,6000.9999990984215
1,1,6000.999999041052
2,1,6000.999998977684
3,1,6000.999998908136
4,1,6000.999998832399
5,1,6000.999998750672
6,1,6000.9999986634
7,1,6000.999998571288
8,1,6000.999998475296
9,1,6000.999998376597
10,1,6000.999998276529
11,1,6000.999998176501
12,1,6000.999998077906
13,1,6000.999997982036
14,1,6000.999997890002
15,1,6000.999997802695
16,1,6000.999997720744
17,1,6000.999997644535
18,1,6000.999997574218
19,1,6000.999997509751
20,1,6000.9999974509365
21,1,6000.999997397467
22,1,6000.999997348959
23,1,6000.999997304989
24,1,6000.9999972651185
25,1,6000.9999972289115
26,1,6000.999997195951
27,1,6000.999997165845
28,1,6000.999997138233
29,1,6000.9999971127845
30,1,6000.9999970891995
31,1,6000.999997067207
32,1,6000.999997046568
33,1,6000.999997027062
34,1,6000.999997008495
35,1,6000.999996990688
36,1,6000.999996973477
37,1,6000.999996956717
38,1,6000.999996940269
39,1,6000.999996924002
40,1,6000.9999969077935
41,1,6000.999996891524
42,1,6000.999996875075
43,1,6000.9999968583315
44,1,6000.999996841171
45,1,6000.999996823465
46,1,6000.999996805081
47,1,6000.999996785871
48,1,6000.999996765669
49,1,6000.9999967442845
50,1,6000.999996721497
51,1,6000.999996697037
52,1,6000.99999667057
53,1,6000.999996641669
54,1,6000.999996609761
55,1,6000.999996574053
56,1,6000.999996533392
57,1,6000.99999648603
58,1,6000.999996429191
59,1,6000.999996358256
60,1,6000.99999626517
61,1,6000.999996135174
62,1,6000.9999959396255
63,1,6000.999995618898
64,1,6000.999995036744
65,1,6000.999993838526
66,1,6000.999990911045
67,1,6000.9999816731815
68,1,6000.999938148236
69,1,6000.999521592928
70,1,6000.979057257761
71,1,5993.057385719408
72,1,5512.566507396685
73,1,4351.684127365447
74,1,3765.4541784102653
75,1,3479.156968519043
76,1,3268.230762904828
77,1,3069.977148847614
78,1,2870.621098543819
79,1,2670.5509308511837
80,1,2474.1229285553427
81,1,2286.0531955836423
82,1,2110.0095205832954
